u (cm/s),C_d
41.46797506,0.541360321
41.06757898,0.556472305
41.60220488,0.553477429
40.9345633,0.571600478
40.5336276,0.574603449
40.39939779,0.562486341
39.99832719,0.562462058
39.59698678,0.556383269
39.06236088,0.559378145
39.4639711,0.571511441
37.19110279,0.568346585
35.85433569,0.571292896
35.98762118,0.56221923
36.12090667,0.553145564
35.05192468,0.565189824
34.65098898,0.568192794
33.98213327,0.559070563
38.12639457,0.556294232
38.66061576,0.544217595
39.32879695,0.53820356
38.65994124,0.529081328
39.06087693,0.526078358
38.3916165,0.507874366
39.06020241,0.510942091
38.65845729,0.495781541
38.52436237,0.486691687
38.25698197,0.486675498
39.99697814,0.532189524
40.53214366,0.541303662
40.12999382,0.517061352
40.79844482,0.517101823
41.06555541,0.511063505
42.40218761,0.505089941
42.4017829,0.496008181
42.26782289,0.48994558
37.32398356,0.550191159
37.85847456,0.54416903
37.59055454,0.532043828
37.45645962,0.522953973
36.52076313,0.525924567
36.11969253,0.525900284
36.65485804,0.535014421
37.18975375,0.538074052
34.91715525,0.540963703
35.18426584,0.534925384
34.51567993,0.53185766
32.7800007,0.583215742
32.37812067,0.565027939
32.11087518,0.568039004
32.24429557,0.561992591
32.78054032,0.595324755
32.91234186,0.552951302
32.77824695,0.543861448
33.44669795,0.543901919
33.57930891,0.519691986
35.31633719,0.498606438
35.44948777,0.486505519
35.58223364,0.46532284
36.25095445,0.471417818
36.25054974,0.462336058
37.58772155,0.468471507
39.19186905,0.465541385
40.39575537,0.4807505
40.52863614,0.462595074
40.52836634,0.456540567
41.86540324,0.459648763
42.53371934,0.456661981
43.47036017,0.474882161
44.0062002,0.499132565
44.27479474,0.526394034
44.40929437,0.544565648
44.2764136,0.562721074
43.74138299,0.556634191
44.14690543,0.656557835
44.81495172,0.647516546
45.34849838,0.620303643
45.74916427,0.611246165
45.48124425,0.599120963
46.28325055,0.596142276
46.95183645,0.59921
46.68378153,0.584057545
46.28244112,0.577978755
46.6829721,0.565894025
46.6828372,0.562866771
46.14753678,0.550725381
47.7523588,0.562931525
47.35074858,0.550798229
47.75154938,0.544768005
49.35556197,0.538810629
48.55180192,0.502435023
47.21597915,0.526572108
46.94886856,0.532610426
45.34323711,0.502240761
46.41154457,0.475060235
47.48106618,0.475124989
46.81086142,0.435730224
28.50758027,0.710101367
28.23993007,0.704030672
27.70530417,0.707025548
26.76866334,0.688805368
27.97174024,0.685850963
29.17495204,0.685923811
29.70971284,0.685956188
30.91251993,0.676947277
25.965308,0.661511522
28.23831121,0.667703631
29.17387281,0.661705784
30.2431246,0.655716032
28.63870729,0.652591647
29.30715829,0.652632119
28.10340687,0.640450257
26.23187897,0.64336419
25.83080837,0.643339908
23.82545537,0.643218494
26.89884603,0.610104875
29.03910337,0.637479663
29.57332456,0.625403027
29.70674495,0.619356614
32.24793799,0.643728432
31.17774186,0.628527411
31.17747205,0.622472904
31.84592306,0.622513376
31.84565325,0.616458869
30.90914732,0.601265942
31.04229791,0.589165023
31.17558339,0.580091357
31.71115362,0.598287255
31.57705871,0.5891974
28.63627901,0.598101087
26.0960303,0.594920042
27.43252759,0.585919225
26.89736208,0.576805088
27.43185307,0.570782958
25.02542947,0.570637261
25.96126087,0.570693921
26.09427655,0.555565748
29.16996058,0.573915437
27.83116992,0.531452947
29.97088764,0.546718722
30.37182334,0.543715751
30.10390332,0.531590549
29.83544369,0.507356334
29.30027817,0.498242196
32.10898652,0.525657456
34.24573635,0.474323657
33.17675436,0.486367917
31.83917784,0.471150707
31.03636212,0.455965875
35.17846495,0.404753489
35.71309085,0.401758613
37.31872229,0.432128278
37.71952309,0.426098054
38.78863998,0.417081048
40.65976316,0.405085354
42.13062517,0.411228898
40.2569388,0.365706777
39.9892886,0.359636082
