Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.026262099,0.0175,6.4,14.67,2.527420999,10156.60491,10151.42693,nan,nan,None
0.028970402,0.0192,6.4,14.75,2.527420999,10667.46194,10662.02352,nan,nan,None
0.022762429,0.0142,6.4,15.67,2.527420999,9455.688312,9450.86767,nan,nan,None
0.027811995,0.0167,6.4,16.28,2.527420999,10452.01233,10446.68375,nan,nan,None
0.027794911,0.0167,6.4,16.27,2.527420999,10448.80176,10443.47482,nan,nan,None
0.028683255,0.0167,6.4,16.79,2.527420999,10614.46383,10609.05242,nan,nan,None
0.01789086,0.0092,6.4,19.01,2.527420999,8382.999684,8378.725914,nan,nan,None
0.029195761,0.0167,6.4,17.09,2.527420999,10708.87242,10703.41289,nan,nan,None
0.025987228,0.0142,6.4,17.89,2.527420999,10103.31329,10098.16248,nan,nan,None
0.029231258,0.015,6.4,19.05,2.527420999,10715.3805,10709.91765,nan,nan,None
0.041480945,0.0208,6.4,18.22,2.427522936,12340.14695,12333.85577,nan,nan,None
0.060455465,0.0342,6.4,16.15,2.427522936,14897.51372,14889.91876,nan,nan,None
0.076469656,0.0542,6.4,12.89,2.427522936,16754.85137,16746.30951,nan,nan,None
0.076410331,0.0542,6.4,12.88,2.427522936,16748.35094,16739.8124,nan,nan,None
0.040665393,0.0275,6.4,13.51,2.427522936,12218.23571,12212.00668,nan,nan,None
0.040071817,0.0258,6.4,14.19,2.427522936,12128.73559,12122.55219,nan,nan,None
0.064503451,0.0433,6.4,13.61,2.427522936,15388.18817,15380.34306,nan,nan,None
0.037655371,0.0225,6.4,15.29,2.427522936,11757.35089,11751.35682,nan,nan,None
0.045356539,0.0267,6.4,15.52,2.427522936,12903.75079,12897.17227,nan,nan,None
0.051951004,0.0316,6.4,15.02,2.427522936,13809.97796,13802.93744,nan,nan,None
0.031930857,0.0175,6.4,16.67,2.427522936,10826.82961,10821.30994,nan,nan,None
0.051654815,0.04,5.5,11.7,2.647298675,11784.7431,11778.73508,nan,nan,None
0.049370083,0.035,5.5,12.78,2.647298675,11521.17152,11515.29787,nan,nan,None
0.046704562,0.0325,5.5,13.02,2.647298675,11205.83867,11200.12578,nan,nan,None
0.03845414,0.0208,5.5,16.75,2.647298675,10168.01706,10162.83327,nan,nan,None
0.032565712,0.0175,5.5,16.86,2.647298675,9357.180405,9352.409984,nan,nan,None
0.040369673,0.0221,5.5,16.55,2.647298675,10418.19133,10412.87999,nan,nan,None
0.040951342,0.0225,5.5,16.49,2.647298675,10492.97843,10487.62896,nan,nan,None
0.046445185,0.0263,5.5,16,2.647298675,11174.67906,11168.98205,nan,nan,None
0.04352757,0.0238,5.5,16.57,2.647298675,10817.99873,10812.48356,nan,nan,None
0.036929882,0.019,5.5,17.61,2.647298675,9964.457786,9959.377767,nan,nan,None
0.031522682,0.016,5.5,17.85,2.647298675,9206.11286,9201.419456,nan,nan,None
0.024767822,0.012,5.5,18.7,2.647298675,8160.346868,8156.186609,nan,nan,None
0.043443024,0.024,5.5,16.4,2.647298675,10807.4874,10801.9776,nan,nan,None
0.05194289,0.0315,5.5,14.94,2.647298675,11817.55872,11811.53396,nan,nan,None
0.061671214,0.0375,5.5,14.9,2.647298675,12876.74102,12870.17628,nan,nan,None
0.031870359,0.015,5.5,19.25,2.647298675,9256.742644,9252.023427,nan,nan,None
0.034416566,0.0163,5.5,19.13,2.647298675,9619.41099,9614.50688,nan,nan,None
0.025630391,0.0113,5.5,20.55,2.647298675,8301.227728,8296.995646,nan,nan,None
0.036602624,0.0175,5.5,18.95,2.647298675,9920.209061,9915.1516,nan,nan,None
0.051538923,0.0275,5.5,16.98,2.647298675,11771.51562,11765.51433,nan,nan,None
0.05143738,0.029,5.5,16.07,2.647298675,11759.91359,11753.91822,nan,nan,None
0.048511854,0.0462,3.7,6.4,2.647298675,6301.54733,6298.334713,nan,nan,None
